,File,Frames,Replacement,Page_Fault_rate
0,bzip.trace,32,clock,0.0022
0,bzip.trace,32,lru,0.0021
0,bzip.trace,30,rand,0.0027
0,bzip.trace,30,clock,0.0024
0,bzip.trace,30,lru,0.0022
0,bzip.trace,28,rand,0.0029
0,bzip.trace,28,clock,0.0024
0,bzip.trace,28,lru,0.0023
0,bzip.trace,26,rand,0.0031
0,bzip.trace,26,clock,0.0028
0,bzip.trace,26,lru,0.0025
0,bzip.trace,24,rand,0.0033
0,bzip.trace,24,clock,0.0029
0,bzip.trace,24,lru,0.0027
0,bzip.trace,22,rand,0.0035
0,bzip.trace,22,clock,0.003
0,bzip.trace,22,lru,0.0029
0,bzip.trace,20,rand,0.0038
0,bzip.trace,20,clock,0.0032
0,bzip.trace,20,lru,0.003
0,bzip.trace,18,rand,0.0041
0,bzip.trace,18,clock,0.0033
0,bzip.trace,18,lru,0.0032
0,bzip.trace,16,rand,0.0045
0,bzip.trace,16,clock,0.0035
0,bzip.trace,16,lru,0.0033
0,bzip.trace,14,rand,0.005
0,bzip.trace,14,clock,0.0037
0,bzip.trace,14,lru,0.0036
0,bzip.trace,12,rand,0.0055
0,bzip.trace,12,clock,0.0041
0,bzip.trace,12,lru,0.0039
0,bzip.trace,10,rand,0.0174
0,bzip.trace,10,clock,0.0292
0,bzip.trace,10,lru,0.0171
0,bzip.trace,8,rand,0.0441
0,bzip.trace,8,clock,0.0462
0,bzip.trace,8,lru,0.0307
0,bzip.trace,6,rand,0.0769
0,bzip.trace,6,clock,0.0634
0,bzip.trace,6,lru,0.0436
0,bzip.trace,4,rand,0.1317
0,bzip.trace,4,clock,0.1114
0,bzip.trace,4,lru,0.0928
0,bzip.trace,2,rand,0.2423
0,bzip.trace,2,clock,0.2288
0,bzip.trace,2,lru,0.1544
0,gcc.trace,58,rand,0.0793
0,gcc.trace,58,clock,0.065
0,gcc.trace,58,lru,0.0623
0,gcc.trace,56,rand,0.0805
0,gcc.trace,56,clock,0.0663
0,gcc.trace,56,lru,0.0635
0,gcc.trace,54,rand,0.082
0,gcc.trace,54,clock,0.0674
0,gcc.trace,54,lru,0.0647
0,gcc.trace,52,rand,0.0836
0,gcc.trace,52,clock,0.0688
0,gcc.trace,52,lru,0.0659
0,gcc.trace,50,rand,0.0857
0,gcc.trace,50,clock,0.0702
0,gcc.trace,50,lru,0.0673
0,gcc.trace,48,rand,0.0872
0,gcc.trace,48,clock,0.0716
0,gcc.trace,48,lru,0.0688
0,gcc.trace,46,rand,0.089
0,gcc.trace,46,clock,0.0732
0,gcc.trace,46,lru,0.0704
0,gcc.trace,44,rand,0.091
0,gcc.trace,44,clock,0.0748
0,gcc.trace,44,lru,0.072
0,gcc.trace,42,rand,0.0934
0,gcc.trace,42,clock,0.0765
0,gcc.trace,42,lru,0.0737
0,gcc.trace,40,rand,0.0955
0,gcc.trace,40,clock,0.0783
0,gcc.trace,40,lru,0.0756
0,gcc.trace,38,rand,0.0977
0,gcc.trace,38,clock,0.0804
0,gcc.trace,38,lru,0.0775
0,gcc.trace,36,rand,0.1006
0,gcc.trace,36,clock,0.0827
0,gcc.trace,36,lru,0.0796
0,gcc.trace,34,rand,0.1037
0,gcc.trace,34,clock,0.0851
0,gcc.trace,34,lru,0.0819
0,gcc.trace,32,rand,0.1066
0,gcc.trace,32,clock,0.0877
0,gcc.trace,32,lru,0.0844
0,gcc.trace,30,rand,0.11
0,gcc.trace,30,clock,0.0905
0,gcc.trace,30,lru,0.0872
0,gcc.trace,28,rand,0.1136
0,gcc.trace,28,clock,0.0934
0,gcc.trace,28,lru,0.0902
0,gcc.trace,26,rand,0.1181
0,gcc.trace,26,clock,0.0967
0,gcc.trace,26,lru,0.0935
0,gcc.trace,24,rand,0.123
0,gcc.trace,24,clock,0.1004
0,gcc.trace,24,lru,0.0971
0,gcc.trace,22,rand,0.128
0,gcc.trace,22,clock,0.1045
0,gcc.trace,22,lru,0.1008
0,gcc.trace,20,rand,0.1348
0,gcc.trace,20,clock,0.109
0,gcc.trace,20,lru,0.1051
0,gcc.trace,18,rand,0.1418
0,gcc.trace,18,clock,0.1146
0,gcc.trace,18,lru,0.1104
0,gcc.trace,16,rand,0.1504
0,gcc.trace,16,clock,0.1217
0,gcc.trace,16,lru,0.1166
0,gcc.trace,14,rand,0.1609
0,gcc.trace,14,clock,0.1306
0,gcc.trace,14,lru,0.1247
0,gcc.trace,12,rand,0.1745
0,gcc.trace,12,clock,0.1425
0,gcc.trace,12,lru,0.1354
0,gcc.trace,10,rand,0.1922
0,gcc.trace,10,clock,0.1587
0,gcc.trace,10,lru,0.1507
0,gcc.trace,8,rand,0.2169
0,gcc.trace,8,clock,0.1819
0,gcc.trace,8,lru,0.1712
0,gcc.trace,6,rand,0.2534
0,gcc.trace,6,clock,0.2145
0,gcc.trace,6,lru,0.1992
0,gcc.trace,4,rand,0.3157
0,gcc.trace,4,clock,0.277
0,gcc.trace,4,lru,0.2438
0,gcc.trace,2,rand,0.4672
0,gcc.trace,2,clock,0.4609
0,gcc.trace,2,lru,0.404
